MIS_Status,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx
P I F,1122875008,Patty Schwartzkopf Properties,MAMMOTH LAKES,CA,93546,BANK OF AMERICA NATL ASSOC,NC,531210,16413,2005,84,2,1,0,0,1,2,Y,N,16587,11000,0,11000,5500,0,0,0.5,0,2520,19107
P I F,4549584000,HAM DELLES COMPANY INCORPORATE,SANTA ROSA,CA,95401,UMPQUA BANK,OR,531312,15126,2001,300,7,1,0,7,1,1,0,N,15156,866800,0,866800,650100,0,1,0.75,0,9000,24156
P I F,7408914003,"MEGA CORPORATION GROUP,A CALIF",WALNUT,CA,91789,BANK OF AMERICA NATL ASSOC,NC,532230,16195,2004,84,3,1,0,3,1,1,Y,N,16222,77377,0,85000,42500,0,0,0.5,0,2520,18742
P I F,4579774010,STICKS-N-STONES ENTERPRISES,SAN CARLOS,CA,94070,"WACHOVIA SBA LENDING, INC.",CA,531312,15141,2001,300,10,1,0,0,1,1,N,N,15218,800100,0,810000,607500,0,1,0.75,0,9000,24218
P I F,6266254005,PREMIERE PROPERTIES INC,BURLINGAME,CA,94010,U.S. BANK NATIONAL ASSOCIATION,OH,531210,15818,2003,300,2,1,0,2,1,1,0,N,15917,1054200,0,1056200,766917,0,1,0.726109638,0,9000,24917
CHGOFF,2735566002,D BOOKER ENTERPRISES INC,SAN LUIS OBISPO,CA,93401,JPMORGAN CHASE BANK NATL ASSOC,IL,531210,17254,2007,46,1,1,1,1,1,2,Y,N,17256,98180,0,50000,25000,0,0,0.5,0,1380,18636
P I F,7313324000,EXECUTIVE CAPITAL FINANCE,BELL GARDENS,CA,90201,BANCO POPULAR NORTH AMERICA,NY,531210,16161,2004,294,3,1,3,3,1,1,0,N,16191,270000,0,270000,202500,0,1,0.75,0,8820,25011
CHGOFF,2432396002,JEANETTE GARCIA & EDELMIRA TOR,MADERA,CA,93638,EH NATIONAL BANK,CA,531210,17066,2006,289,5,1,2,5,68905,1,0,N,17105,1480000,0,1493000,1119750,0,1,0.75,0,8670,25775
P I F,3949994010,ATV VIDEO CENTER ROCKLIN,ROCKLIN,CA,95765,"CITIBANK, N.A.",CA,532490,14868,2000,60,5,1,0,5,1,1,Y,N,14944,64270,0,50000,25000,0,0,0.5,0,1800,16744
P I F,6476574005,AMID E SAREMI,THOUSAND OAKS,CA,91360,STEARNS BK NATL ASSOC,MN,531120,15895,2003,120,5,1,5,5,1,1,0,N,15917,200000,0,200000,100000,0,0,0.5,0,3600,19517
P I F,5618804004,PREMIERE STUDIO RENTALS,SAN FERNANDO,CA,91340,FIRST PRIVATE BANK & TRUST,CA,532111,15567,2002,300,12,1,0,12,1,1,0,N,15644,600000,0,600000,450000,0,1,0.75,0,9000,24644
P I F,4867084009,REMAX LTD,NORTHRIDGE,CA,91324,EAST WEST BANK,CA,531210,15215,2001,84,2,1,0,0,1,1,N,N,15309,201000,0,201000,150750,0,0,0.75,1,2520,17829
P I F,3606924009,PRUDENTIAL CALIFORNIA REALTY,ORANGE,CA,92865,SOUTHLAND ECONOMIC DEVEL CORP,CA,531210,14669,2000,240,3,1,3,3,67219,1,N,N,14775,723000,0,750000,750000,0,1,1,0,7200,21975
P I F,2880246007,GOING IN STYLE LIMOUSINE,CAPISTRANO BEACH,CA,92624,"CITIBANK, N.A.",SD,532111,17350,2007,60,2,1,0,2,1,1,0,N,17378,25000,0,25000,12500,0,0,0.5,0,1800,19178
P I F,2812105002,"JR Lighting, Inc.",Burbank,CA,91504,COMMUNITY BANK,CA,532310,17484,2008,84,5,2,0,5,0,1,Y,N,17897,150000,0,150000,75000,1,0,0.5,0,2520,20417
P I F,1207715005,Lee & Jackson Financial Servic,CAMARILLO,CA,93010,BANK OF AMERICA NATL ASSOC,NC,531210,16491,2005,84,5,1,0,5,1,1,Y,N,16526,67597,0,50000,25000,0,0,0.5,0,2520,19046
CHGOFF,1496985000,Deborah Monteleone,AUBURN,CA,95603,U.S. BANK NATIONAL ASSOCIATION,OH,531390,16722,2006,39,1,2,0,1,0,1,Y,N,16740,62267,0,24000,12000,1,0,0.5,1,1170,17910
P I F,7465724001,THE MORTGAGE NETWORK,SAN JOSE,CA,95128,BANK OF THE WEST,CA,531210,16216,2004,300,10,1,0,10,1,1,0,N,16252,567000,0,567000,425250,0,1,0.75,0,9000,25252
P I F,8353253006,TURN-KEY PROPERTY MANAGEMENT,PASO ROBLES,CA,93446,"RABOBANK, NATIONAL ASSOCIATION",CA,531110,12922,1995,84,1,1,0,0,1,0,N,Y,12995,63000,0,63000,56700,0,0,0.9,0,2520,15515
P I F,3232176006,ZAHAVA GROUP INC,SAN DIEGO,CA,92154,CDC SMALL BUS. FINAN CORP,CA,531190,17644,2008,240,20,1,10,20,1,1,0,N,17967,1682000,0,1682000,1682000,0,1,1,0,7200,25167
P I F,5657524006,FIRST EXECUTIVE MORTGAGE,CLAREMONT,CA,91711,BANK OF AMERICA NATL ASSOC,NC,531210,15582,2002,84,8,1,0,8,1,1,Y,N,15613,50000,0,50000,25000,0,0,0.5,0,2520,18133
CHGOFF,1669295004,ROBERT R GONZAGA DBA ASSIST2SE,PANORAMA CITY,CA,91402,BANK OF AMERICA NATL ASSOC,NC,531210,16849,2006,50,3,2,2,3,0,1,Y,N,16860,60500,0,40500,20250,1,0,0.5,0,1500,18360
CHGOFF,2175075002,J.K.H. Enterprises.,LA JOLLA,CA,92037,U.S. BANK NATIONAL ASSOCIATION,OH,531210,17148,2007,84,1,2,0,1,0,1,Y,N,17378,50000,0,50000,25000,1,0,0.5,0,2520,19898
P I F,8990214004,RAUL BARETE,COVINA,CA,91723,CDC SMALL BUS. FINAN CORP,CA,531210,16635,2005,240,2,1,2,0,1,1,0,N,16756,228000,0,228000,228000,0,1,1,0,7200,23956
